gene	group
929	gbr.84.64	grey
930	gbr.25.136	pink
931	gbr.4.122	yellow
932	gbr.662.1	blue
933	gbr.41.13_gbr.41.14	green
934	gbr.196.44	grey
935	gbr.183.56	blue
936	gbr.173.11	brown
937	gbr.37.94	pink
938	gbr.126.43	red
939	gbr.412.8	blue
940	gbr.145.21	grey
941	gbr.6.43	grey
942	gbr.117.45	grey
943	gbr.7.51	turquoise
944	gbr.72.143_gbr.72.144	grey
945	gbr.66.4	tan
946	gbr.143.14	black
947	gbr.30.8	cyan
948	gbr.101.46	yellow
949	gbr.421.2	blue
950	gbr.92.23	blue
951	gbr.103.19	blue
952	gbr.5.38	red
953	gbr.76.19	grey
954	gbr.60.79	grey
955	gbr.223.28	green
956	gbr.105.15	blue
957	gbr.40.7	brown
958	gbr.58.47	grey
959	gbr.212.7	grey
960	gbr.262.16	yellow
961	gbr.111.56	grey
962	gbr.11.59_gbr.11.60	grey
963	gbr.234.18	blue
964	gbr.314.18	blue
965	gbr.117.50	cyan
966	gbr.419.6	green
967	gbr.98.13	yellow
968	gbr.151.56	grey
969	gbr.256.26	blue
970	gbr.4.119	grey
971	gbr.190.33	blue
972	gbr.181.32	green
973	gbr.262.12	grey
974	gbr.40.184	yellow
975	gbr.2.173	grey
976	gbr.216.39	blue
977	gbr.152.17	pink
978	gbr.32.103_gbr.32.105	grey
979	gbr.142.61	grey
980	gbr.202.18	grey
981	gbr.100.51	grey
982	gbr.155.17	grey
983	gbr.9.46	yellow
984	gbr.210.12	green
985	gbr.40.116	brown
986	gbr.221.90_gbr.221.91	grey
987	gbr.75.4	yellow
988	gbr.248.6	grey
989	gbr.5.95	black
990	gbr.55.40	yellow
991	gbr.1.257	green
992	gbr.50.52	grey
993	gbr.244.4	green
994	gbr.384.9	red
995	gbr.46.39	blue
