Sample:	Paf	Pam	Paw
gbr.11.122.t1	64.47467165	67.55651627	46.17011013
gbr.105.1.t1	79.59211928	106.094991	71.24142921
gbr.235.16.t1	8.545544477	7.789679066	6.13501352
gbr.3.102.t1	36.23578553	34.43515256	28.99637675
gbr.55.7.t1	25.73711568	27.21876715	23.20254533
gbr.221.35.t1	15.57350665	14.60221942	10.46314755
gbr.133.29.t1	11.66006916	12.96865096	8.572803439
gbr.226.20.t1	8.560930921	10.50964087	7.164689442
gbr.19.165.t1	602.0544998	974.1717453	410.8477757
gbr.2168.1.t1	18.65354488	28.50344041	10.88975271
gbr.31.57.t1_gbr.31.58.t1	19.6291203	31.26106912	16.28836494
gbr.38.85.t1	152.0425217	224.0599455	105.3658501
gbr.11.114.t1	63.62117862	92.16175795	54.70387093
gbr.85.22.t1	463.6651948	627.4491593	253.5988551
gbr.177.24.t1	3.179897934	4.805465254	2.357917025
gbr.512.14.t1	35.22078189	43.63079622	37.87276771
gbr.142.24.t1	44.08741246	55.47072088	43.32024201
gbr.44.87.t1	7.830842593	8.008258013	7.928416267
gbr.412.14.t1	13.20129192	13.40880535	12.14802828
gbr.400.7.t1_gbr.400.8.t1	27.52715082	24.8249625	25.19340724
gbr.58.43.t1	187.7707392	205.6268582	101.6632944
gbr.1669.1.t1	3886.051045	4120.318737	2727.215389
gbr.77.25.t1	15.44304391	14.74225412	14.0862873
gbr.245.11.t1	37.26737635	35.20111314	23.30958108
gbr.112.6.t1	4.182545254	6.223130445	3.49855316
gbr.81.156.t1	16.07208215	17.95789728	11.59582904
gbr.5.5.t1	26.02674659	22.33739211	17.87453399
gbr.396.25.t1	28.77317199	42.01642797	20.91391465
gbr.81.62.t1	669.365419	970.1247621	296.0955947
gbr.56.80.t1	9.41734571	9.161144146	5.139942782
gbr.39.51.t1	35.45351515	37.69690714	19.20308355
gbr.245.6.t1	7.280165598	8.120644302	4.76938129
gbr.317.7.t1	6.07248386	10.21330348	5.305151118
gbr.120.33.t1	16.1836098	19.08851562	12.20932033
gbr.5.36.t1	34.88521046	37.38365222	31.62060361
gbr.134.21.t1	38.61206011	48.74042309	34.91017677
gbr.225.14.t1	29.39854543	35.99215647	27.46381745
gbr.55.75.t1	184.1679727	165.4060025	138.3000844
gbr.164.30.t1	27.68560297	26.67121047	24.74718863
gbr.203.3.t1	270.2229554	332.305209	295.3968912
gbr.4.97.t1	2.222442404	1.574547576	0.895503664
gbr.304.5.t1	18.34952095	20.47799318	18.42537527
gbr.568.1.t1	17.01172448	17.59078738	20.32597332
gbr.182.30.t1	16.5866069	17.04538559	13.65247954
gbr.18.13.t1	94.77366344	117.520287	75.3551076
gbr.412.18.t1	3.738042289	3.172593235	3.050689945
gbr.2.71.t1	7.285919204	7.78839403	5.193873959
gbr.75.49.t1	61.00678827	73.42313282	40.52271552
gbr.479.1.t1	8.856003189	9.491771185	4.578544374
gbr.27.49.t1	14.99084259	19.10947155	7.676414539
gbr.46.61.t1	3.94876247	5.630287686	2.491526013
gbr.216.17.t1	2.517876951	4.220226215	1.720202456
gbr.549.5.t1	5.472924377	7.068534144	3.644778454
gbr.232.22.t1	50.89798474	53.00728133	31.20445296
gbr.84.52.t1	6.758031654	11.78263038	7.420783282
gbr.79.31.t1	7.516858836	11.44105655	7.104628988
gbr.34.59.t1	77.57506938	86.76166133	74.74488581
gbr.24.92.t1	4.870462893	4.665244034	2.397231533
gbr.99.43.t1	42.37511441	51.85501468	30.8540694
gbr.56.62.t1	19.65894531	24.31766323	12.83698343
gbr.856.6.t1	45.89121112	31.72369179	25.4041951
gbr.2.159.t1	23.40003049	25.9363785	21.51405293
gbr.35.82.t1	19.77205289	21.8981411	20.40733981
gbr.10.17.t1	12.52821485	21.02280464	11.22823721
gbr.93.24.t1	32.71455225	40.22792262	30.44668237
gbr.354.6.t1	19.54375837	24.46180594	11.06872307
gbr.9.88.t1	17.2155632	16.8887629	12.42591812
gbr.2.67.t1	13.87515886	13.52554681	12.41850136
gbr.318.57.t1	15.3714857	17.62477706	9.321013399
gbr.107.29.t1	8.433218506	8.348756584	5.814295305
gbr.145.19.t1	1.8347475	2.237699175	1.447007394
gbr.310.1.t1	268.6132918	245.6861426	199.8883798
gbr.12.76.t1	17.88813575	15.98996796	14.70206198
gbr.221.100.t1	0.556867916	1.04090796	0.744452577
gbr.41.27.t1	35.14358126	39.12127667	20.64465028
gbr.7.53.t1	29.52882717	46.38052497	22.37428353
gbr.2.198.t1	14.66115696	17.88698798	10.42469784
gbr.291.7.t1	20.85222981	26.99404944	19.08519115
gbr.59.7.t1	269.307885	259.7829849	154.0298977
gbr.478.2.t1	35.7050629	33.2140467	28.37492244
gbr.6.57.t1	350.5749164	349.5779704	352.3975675
gbr.90.56.t1	148.7260393	257.4223568	118.2597224
gbr.265.11.t1	61.88334413	84.46450233	54.05239201
gbr.65.61.t1	13.53455643	15.91282136	14.28322022
gbr.498.9.t1	1.275565321	1.789766082	0.943803541
gbr.253.12.t1	12.53714002	11.54524952	8.779526224
gbr.306.8.t1	8.053425241	9.77173634	7.630370681
gbr.221.84.t1	64.87112245	58.23246779	59.63558804
gbr.74.9.t1	20.82212819	23.54679546	16.30102528
